mode,context_label,target_prompt_tokens,prompt_tokens,completion_tokens,context_slot,decode_tps,prefill_seconds,wall_tps,draft_acceptance,memory_after_mib,temperature_c,source_log,result_csv,notes
No MTP,10K prompt,10000,8907,1024,200192,48.21,2.91255,42.126,,29856,56,results/rtx-5090/server-logs/qwen36-27b-nvfp4-gguf-no-mtp-b9851-ctx200k-20260703-162504.err.log,results/rtx-5090/qwen36-27b-nvfp4-gguf-llamacpp-ctx200k-no-mtp-request-nothink-prompt10k-gen1024-20260703-162526.csv,Loaded qwen3.6-27b-nvfp4-mtp.gguf without speculative decoding.
No MTP,200K prompt,200000,174590,1024,200192,32.86,121.41188,6.681,,29856,71,results/rtx-5090/server-logs/qwen36-27b-nvfp4-gguf-no-mtp-b9851-ctx200k-20260703-162504.err.log,results/rtx-5090/qwen36-27b-nvfp4-gguf-llamacpp-ctx200k-no-mtp-request-nothink-prompt200k-gen1024-20260703-162552.csv,Prompt eval line reports 166199 newly processed prompt tokens after reusing the 10K prefix in the same server.
draft-mtp n=2,10K prompt,10000,8907,1024,200192,67.85,3.08244,55.897,0.66857,31520,61,results/rtx-5090/server-logs/qwen36-27b-nvfp4-gguf-draft-mtp-b9851-ctx200k-20260703-162832.err.log,results/rtx-5090/qwen36-27b-nvfp4-gguf-llamacpp-ctx200k-draft-mtp-mtpn2-request-nothink-prompt10k-gen1024-20260703-162854.csv,draft acceptance 585 accepted / 875 generated; mean len 2.34.
draft-mtp n=2,200K prompt,200000,174590,1024,200192,41.26,131.782,6.510,0.68287,31520,68,results/rtx-5090/server-logs/qwen36-27b-nvfp4-gguf-draft-mtp-b9851-ctx200k-20260703-162832.err.log,results/rtx-5090/qwen36-27b-nvfp4-gguf-llamacpp-ctx200k-draft-mtp-mtpn2-request-nothink-prompt200k-gen1024-20260703-162914.csv,draft acceptance 590 accepted / 864 generated; mean len 2.37. Prompt eval line reports 166199 newly processed prompt tokens after reusing the 10K prefix in the same server.
