"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-23T13:35:10","2026-06-23T13:35:10.1200587-07:00","2026-06-23T13:35:53.3768757-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt131k-gen1024","False","1","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","131072","551005","dfa920b118d5288e1e9abb57ded9f743a0ebed5f73b8cb71a30c8c9c87a44e39","114465","1024","115489","43.254","23.674","118.96","198.55","2415","2392","13801","13801","51","57","31838","31838","32607"
"2026-06-23T13:35:53","2026-06-23T13:35:53.9025967-07:00","2026-06-23T13:36:16.1000698-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt131k-gen1024","False","2","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","131072","551005","dfa920b118d5288e1e9abb57ded9f743a0ebed5f73b8cb71a30c8c9c87a44e39","114465","1024","115489","22.197","46.132","170.46","168.23","2400","2400","13801","13801","55","56","31838","31838","32607"
"2026-06-23T13:36:16","2026-06-23T13:36:16.5960137-07:00","2026-06-23T13:36:38.5986595-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt131k-gen1024","False","3","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","131072","551005","dfa920b118d5288e1e9abb57ded9f743a0ebed5f73b8cb71a30c8c9c87a44e39","114465","1024","115489","22.002","46.542","168.23","195.67","2400","2392","13801","13801","56","57","31838","31838","32607"
