"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-23T18:17:24","2026-06-23T18:17:24.5759348-07:00","2026-06-23T18:20:12.2475417-07:00","qwopus-nothink-200k","True","1","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","200000","840403","a794ca243983eb3387bec6728db4b0c72a99ee2a98cfee7223269708e4ae228c","174590","1024","175614","167.669","6.107","41.76","342.9","570","2212","810","13801","45","68","28558","28524","32607"
"2026-06-23T18:20:12","2026-06-23T18:20:12.7154535-07:00","2026-06-23T18:20:36.5841967-07:00","qwopus-nothink-200k","False","1","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","200000","840403","a794ca243983eb3387bec6728db4b0c72a99ee2a98cfee7223269708e4ae228c","174590","1024","175614","23.868","42.902","342.9","337.91","2212","2212","13801","13801","68","67","28524","28599","32607"
"2026-06-23T18:20:37","2026-06-23T18:20:37.0182674-07:00","2026-06-23T18:20:58.5501753-07:00","qwopus-nothink-200k","False","2","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","200000","840403","a794ca243983eb3387bec6728db4b0c72a99ee2a98cfee7223269708e4ae228c","174590","1024","175614","21.532","47.557","293.69","343.22","2220","2212","13801","13801","63","68","28600","28609","32607"
