"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-23T18:15:41","2026-06-23T18:15:41.4211502-07:00","2026-06-23T18:15:57.1996690-07:00","qwopus-nothink-8k","True","1","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","8192","35224","47afe8ff501bb27a8ffd1caf82bf0828ca29debaa964eceaab215a66dc71f989","7305","1024","8329","15.775","64.912","44.44","356.07","675","2137","810","13801","42","57","28512","28537","32607"
"2026-06-23T18:15:57","2026-06-23T18:15:57.6381704-07:00","2026-06-23T18:16:10.6064874-07:00","qwopus-nothink-8k","False","1","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","8192","35224","47afe8ff501bb27a8ffd1caf82bf0828ca29debaa964eceaab215a66dc71f989","7305","1024","8329","12.969","78.958","356.07","355.52","2137","2137","13801","13801","57","58","28537","28530","32607"
"2026-06-23T18:16:11","2026-06-23T18:16:11.0239294-07:00","2026-06-23T18:16:23.4516684-07:00","qwopus-nothink-8k","False","2","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","8192","35224","47afe8ff501bb27a8ffd1caf82bf0828ca29debaa964eceaab215a66dc71f989","7305","1024","8329","12.427","82.401","340.47","357.51","2152","2137","13801","13801","55","60","28543","28546","32607"
