"case","base_url","model","gpu_index","target_prompt_tokens","actual_prompt_tokens_max","max_tokens","runs","warmup_runs","status","exit_code","context_started_at","context_ended_at","context_elapsed_seconds","avg_wall_completion_tps","result_csv"
"qwen36-35b-a3b-mtp-ud-q4-k-xl-llamacpp-ctx200k-prompt10k-gen1024","http://127.0.0.1:39185/v1","qwen36-35b-a3b-mtp-ud-q4-k-xl","0","10000","8907","1024","1","0","ok","0","2026-06-24T16:06:26.6023724-07:00","2026-06-24T16:06:38.6531465-07:00","12.048","95.756","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwen36-35b-a3b-mtp-ud-q4-k-xl-llamacpp-ctx200k-prompt10k-gen1024-20260624-160626.csv"
"qwen36-35b-a3b-mtp-ud-q4-k-xl-llamacpp-ctx200k-prompt200k-gen1024","http://127.0.0.1:39185/v1","qwen36-35b-a3b-mtp-ud-q4-k-xl","0","200000","174590","1024","1","0","ok","0","2026-06-24T16:06:38.6981672-07:00","2026-06-24T16:07:49.5883731-07:00","70.89","14.718","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwen36-35b-a3b-mtp-ud-q4-k-xl-llamacpp-ctx200k-prompt200k-gen1024-20260624-160626.csv"
