"case","base_url","model","gpu_index","target_prompt_tokens","actual_prompt_tokens_max","max_tokens","runs","warmup_runs","status","exit_code","context_started_at","context_ended_at","context_elapsed_seconds","avg_wall_completion_tps","result_csv"
"qwen36-35b-a3b-nvfp4-vllm-fp8kv-ctx200k-prompt10k-gen1024","http://127.0.0.1:39184/v1","qwen36-35b-a3b-nvfp4","0","10000","8905","1024","1","0","ok","0","2026-06-24T14:53:54.5788973-07:00","2026-06-24T14:54:09.2600433-07:00","14.677","76.573","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwen36-35b-a3b-nvfp4-vllm-fp8kv-ctx200k-prompt10k-gen1024-20260624-145354.csv"
"qwen36-35b-a3b-nvfp4-vllm-fp8kv-ctx200k-prompt200k-gen1024","http://127.0.0.1:39184/v1","qwen36-35b-a3b-nvfp4","0","200000","174588","1024","1","0","ok","0","2026-06-24T14:54:09.3060688-07:00","2026-06-24T14:54:40.9332391-07:00","31.628","33.742","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwen36-35b-a3b-nvfp4-vllm-fp8kv-ctx200k-prompt200k-gen1024-20260624-145354.csv"
