"case","base_url","model","gpu_index","target_prompt_tokens","actual_prompt_tokens_max","max_tokens","runs","warmup_runs","status","exit_code","context_started_at","context_ended_at","context_elapsed_seconds","avg_wall_completion_tps","result_csv"
"qwopus3.6-35b-a3b-coder-mtp-q5-k-m-llamacpp-ctx200k-request-nothink-prompt10k-gen1024","http://127.0.0.1:39192/v1","qwopus3.6-35b-a3b-coder-mtp-q5-k-m","0","10000","8907","1024","1","0","ok","0","2026-06-30T00:49:59.1401555-07:00","2026-06-30T00:50:09.4359883-07:00","10.293","112.797","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwopus3.6-35b-a3b-coder-mtp-q5-k-m-llamacpp-ctx200k-request-nothink-prompt10k-gen1024-20260630-004959.csv"
"qwopus3.6-35b-a3b-coder-mtp-q5-k-m-llamacpp-ctx200k-request-nothink-prompt200k-gen1024","http://127.0.0.1:39192/v1","qwopus3.6-35b-a3b-coder-mtp-q5-k-m","0","200000","174590","1024","1","0","ok","0","2026-06-30T00:50:09.4638625-07:00","2026-06-30T00:51:17.3090260-07:00","67.837","15.368","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwopus3.6-35b-a3b-coder-mtp-q5-k-m-llamacpp-ctx200k-request-nothink-prompt200k-gen1024-20260630-004959.csv"
