"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-22T14:56:47","2026-06-22T14:56:47.0032459-07:00","2026-06-22T14:56:57.2692599-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt8k-gen1024","False","1","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","8192","35224","47afe8ff501bb27a8ffd1caf82bf0828ca29debaa964eceaab215a66dc71f989","7303","1024","8327","10.263","99.773","17.4","357.81","195","2130","405","13801","39","53","27120","27120","32607"
"2026-06-22T14:56:57","2026-06-22T14:56:57.7737206-07:00","2026-06-22T14:57:06.9934464-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt8k-gen1024","False","2","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","8192","35224","47afe8ff501bb27a8ffd1caf82bf0828ca29debaa964eceaab215a66dc71f989","7303","1024","8327","9.219","111.074","332.98","353.69","2137","2137","13801","13801","49","54","27120","27122","32607"
"2026-06-22T14:57:07","2026-06-22T14:57:07.3799001-07:00","2026-06-22T14:57:16.1615188-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt8k-gen1024","False","3","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","8192","35224","47afe8ff501bb27a8ffd1caf82bf0828ca29debaa964eceaab215a66dc71f989","7303","1024","8327","8.781","116.619","353.69","353.45","2137","2137","13801","13801","54","55","27122","27122","32607"
