"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-22T14:57:17","2026-06-22T14:57:17.2300516-07:00","2026-06-22T14:57:36.8797641-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt33k-gen1024","False","1","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","32768","138104","f73b2b116c4b0dda9941f84ecdad794bfac32d11f838f5ea9d8d316cb1981f5e","28663","1024","29687","19.647","52.121","176.99","334.44","2287","2205","13801","13801","48","54","27122","27122","32607"
"2026-06-22T14:57:37","2026-06-22T14:57:37.2995014-07:00","2026-06-22T14:57:47.7789745-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt33k-gen1024","False","2","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","32768","138104","f73b2b116c4b0dda9941f84ecdad794bfac32d11f838f5ea9d8d316cb1981f5e","28663","1024","29687","10.479","97.72","334.44","358.42","2205","2152","13801","13801","54","60","27122","27122","32607"
"2026-06-22T14:57:48","2026-06-22T14:57:48.1611361-07:00","2026-06-22T14:57:58.7971944-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt33k-gen1024","False","3","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","32768","138104","f73b2b116c4b0dda9941f84ecdad794bfac32d11f838f5ea9d8d316cb1981f5e","28663","1024","29687","10.636","96.276","313.03","360.04","2257","2152","13801","13801","54","59","27122","27122","32607"
