"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-23T13:32:40","2026-06-23T13:32:40.8325567-07:00","2026-06-23T13:33:07.0096940-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt33k-gen1024","False","1","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","32768","138104","f73b2b116c4b0dda9941f84ecdad794bfac32d11f838f5ea9d8d316cb1981f5e","28663","1024","29687","26.173","39.124","14.81","167.34","195","2407","405","13801","42","49","31190","31838","32607"
"2026-06-23T13:33:07","2026-06-23T13:33:07.4965352-07:00","2026-06-23T13:33:29.7041906-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt33k-gen1024","False","2","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","32768","138104","f73b2b116c4b0dda9941f84ecdad794bfac32d11f838f5ea9d8d316cb1981f5e","28663","1024","29687","22.208","46.11","152.52","168.79","2407","2407","13801","13801","47","50","31838","31838","32607"
"2026-06-23T13:33:30","2026-06-23T13:33:30.1629703-07:00","2026-06-23T13:33:51.1442494-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt33k-gen1024","False","3","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","32768","138104","f73b2b116c4b0dda9941f84ecdad794bfac32d11f838f5ea9d8d316cb1981f5e","28663","1024","29687","20.981","48.806","168.79","172.59","2407","2407","13801","13801","50","51","31838","31838","32607"
