"case","base_url","model","gpu_index","target_prompt_tokens","actual_prompt_tokens_max","max_tokens","runs","warmup_runs","status","exit_code","context_started_at","context_ended_at","context_elapsed_seconds","avg_wall_completion_tps","result_csv"
"qwopus3.6-35b-a3b-coder-mtp-q5-k-m-llamacpp-ctx200k-prompt10k-gen1024","http://127.0.0.1:39191/v1","qwopus3.6-35b-a3b-coder-mtp-q5-k-m","0","10000","8907","1024","1","0","ok","0","2026-06-30T00:35:25.5106183-07:00","2026-06-30T00:35:36.1053409-07:00","10.591","109.133","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwopus3.6-35b-a3b-coder-mtp-q5-k-m-llamacpp-ctx200k-prompt10k-gen1024-20260630-003525.csv"
"qwopus3.6-35b-a3b-coder-mtp-q5-k-m-llamacpp-ctx200k-prompt200k-gen1024","http://127.0.0.1:39191/v1","qwopus3.6-35b-a3b-coder-mtp-q5-k-m","0","200000","174590","1024","1","0","ok","0","2026-06-30T00:35:36.1523702-07:00","2026-06-30T00:36:43.9921094-07:00","67.828","15.365","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwopus3.6-35b-a3b-coder-mtp-q5-k-m-llamacpp-ctx200k-prompt200k-gen1024-20260630-003525.csv"
