"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-23T13:33:52","2026-06-23T13:33:52.3031086-07:00","2026-06-23T13:34:21.2914524-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt66k-gen1024","False","1","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","65536","275758","db6594a84990c42ea3876a6d0bd7cc348ed2d7fecc388f9cfd87d1c8ec913d26","57284","1024","58308","28.984","35.329","131.16","179.4","2415","2400","13801","13801","48","53","31838","31838","32607"
"2026-06-23T13:34:21","2026-06-23T13:34:21.7724115-07:00","2026-06-23T13:34:45.2703019-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt66k-gen1024","False","2","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","65536","275758","db6594a84990c42ea3876a6d0bd7cc348ed2d7fecc388f9cfd87d1c8ec913d26","57284","1024","58308","23.497","43.58","179.4","169.29","2400","2407","13801","13801","53","53","31838","31838","32607"
"2026-06-23T13:34:45","2026-06-23T13:34:45.7274969-07:00","2026-06-23T13:35:09.0197792-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt66k-gen1024","False","3","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","65536","275758","db6594a84990c42ea3876a6d0bd7cc348ed2d7fecc388f9cfd87d1c8ec913d26","57284","1024","58308","23.292","43.964","169.29","180.36","2407","2400","13801","13801","53","54","31838","31838","32607"
