"case","base_url","model","gpu_index","target_prompt_tokens","actual_prompt_tokens_max","max_tokens","runs","warmup_runs","status","exit_code","context_started_at","context_ended_at","context_elapsed_seconds","avg_wall_completion_tps","result_csv"
"qwopus-coder-mtp-q5-ctx256k-mtp-prompt8k-gen1024","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","8192","7303","1024","3","0","ok","0","2026-06-22T14:56:46.3355150-07:00","2026-06-22T14:57:16.5084466-07:00","30.17","109.155","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwopus-coder-mtp-q5-ctx256k-mtp-prompt8k-gen1024-20260622-145646.csv"
"qwopus-coder-mtp-q5-ctx256k-mtp-prompt33k-gen1024","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","32768","28663","1024","3","0","ok","0","2026-06-22T14:57:16.5592000-07:00","2026-06-22T14:57:59.1403500-07:00","42.581","82.039","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwopus-coder-mtp-q5-ctx256k-mtp-prompt33k-gen1024-20260622-145646.csv"
"qwopus-coder-mtp-q5-ctx256k-mtp-prompt66k-gen1024","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","65536","57284","1024","3","0","ok","0","2026-06-22T14:57:59.1428542-07:00","2026-06-22T14:58:47.5790950-07:00","48.435","90.793","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwopus-coder-mtp-q5-ctx256k-mtp-prompt66k-gen1024-20260622-145646.csv"
"qwopus-coder-mtp-q5-ctx256k-mtp-prompt131k-gen1024","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","131072","114465","1024","3","0","ok","0","2026-06-22T14:58:47.5826081-07:00","2026-06-22T15:00:15.3864622-07:00","87.803","63.226","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwopus-coder-mtp-q5-ctx256k-mtp-prompt131k-gen1024-20260622-145646.csv"
"qwopus-coder-mtp-q5-ctx256k-mtp-prompt200k-gen1024","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","200000","174588","1024","3","0","ok","0","2026-06-22T15:00:15.3935838-07:00","2026-06-22T15:02:16.8656741-07:00","121.472","50.594","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwopus-coder-mtp-q5-ctx256k-mtp-prompt200k-gen1024-20260622-145646.csv"
