"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-30T00:41:48","2026-06-30T00:41:48.4428901-07:00","2026-06-30T00:41:55.7188046-07:00","ornith-1.0-35b-q4-k-m-llamacpp-ctx256k-rerun10k-gen1024","False","1","http://127.0.0.1:39188/v1","ornith-1.0-35b-q4-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","10000","42940","785c5b31d1ce77612431b1289c0a097ed51ab1a6d4a07bccfb7a70f59df55f94","8905","1024","9929","7.271","140.837","26.9","212.66","195","2385","810","13801","36","44","22872","22912","32607"
"2026-06-30T00:41:56","2026-06-30T00:41:56.2462198-07:00","2026-06-30T00:42:01.9153708-07:00","ornith-1.0-35b-q4-k-m-llamacpp-ctx256k-rerun10k-gen1024","False","2","http://127.0.0.1:39188/v1","ornith-1.0-35b-q4-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","10000","42940","785c5b31d1ce77612431b1289c0a097ed51ab1a6d4a07bccfb7a70f59df55f94","8905","1024","9929","5.668","180.676","212.66","207.79","2385","2385","13801","13801","44","45","22912","22912","32607"
"2026-06-30T00:42:02","2026-06-30T00:42:02.3325291-07:00","2026-06-30T00:42:07.9816383-07:00","ornith-1.0-35b-q4-k-m-llamacpp-ctx256k-rerun10k-gen1024","False","3","http://127.0.0.1:39188/v1","ornith-1.0-35b-q4-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","10000","42940","785c5b31d1ce77612431b1289c0a097ed51ab1a6d4a07bccfb7a70f59df55f94","8905","1024","9929","5.649","181.287","183.23","209.42","2392","2392","13801","13801","42","45","22912","22912","32607"
