family,source,source_repo,context_label,target_prompt_tokens,prompt_tokens,completion_tokens,context_slot,wall_completion_tps,memory_after_mib,temperature_c,model_file_gib,result_csv
27B,NVIDIA,nvidia/Qwen3.6-27B-NVFP4,10K prompt,10000,8907,1024,200192,56.139,31520,52,26.29,results/rtx-5090/qwen36-27b-nvfp4-mtp-gguf-llamacpp-ctx200k-draft-mtp-mtpn2-request-nothink-refresh-prompt10k-gen1024-20260710-105641.csv
27B,Unsloth,unsloth/Qwen3.6-27B-NVFP4,10K prompt,10000,8907,1024,200192,59.511,26696,46,21.63,results/rtx-5090/qwen36-27b-unsloth-nvfp4-mtp-gguf-llamacpp-ctx200k-draft-mtp-mtpn2-request-nothink-prompt10k-gen1024-20260710-104210.csv
27B,NVIDIA,nvidia/Qwen3.6-27B-NVFP4,200K prompt,200000,174590,1024,200192,6.553,31520,61,26.29,results/rtx-5090/qwen36-27b-nvfp4-mtp-gguf-llamacpp-ctx200k-draft-mtp-mtpn2-request-nothink-refresh-prompt200k-gen1024-20260710-105701.csv
27B,Unsloth,unsloth/Qwen3.6-27B-NVFP4,200K prompt,200000,174590,1024,200192,6.793,26696,60,21.63,results/rtx-5090/qwen36-27b-unsloth-nvfp4-mtp-gguf-llamacpp-ctx200k-draft-mtp-mtpn2-request-nothink-prompt200k-gen1024-20260710-104229.csv
35B A3B,NVIDIA,nvidia/Qwen3.6-35B-A3B-NVFP4,10K prompt,10000,8907,1024,200192,109.956,25184,44,22.21,results/rtx-5090/qwen36-35b-a3b-nvfp4-mtp-gguf-llamacpp-ctx200k-draft-mtp-mtpn2-request-nothink-refresh-prompt10k-gen1024-20260710-105419.csv
35B A3B,Unsloth,unsloth/Qwen3.6-35B-A3B-NVFP4,10K prompt,10000,8907,1024,200192,110.276,27366,41,24.33,results/rtx-5090/qwen36-35b-a3b-unsloth-nvfp4-mtp-gguf-llamacpp-ctx200k-draft-mtp-mtpn2-request-nothink-prompt10k-gen1024-20260710-105150.csv
35B A3B,NVIDIA,nvidia/Qwen3.6-35B-A3B-NVFP4,200K prompt,200000,174590,1024,200192,16.182,25184,52,22.21,results/rtx-5090/qwen36-35b-a3b-nvfp4-mtp-gguf-llamacpp-ctx200k-draft-mtp-mtpn2-request-nothink-refresh-prompt200k-gen1024-20260710-105430.csv
35B A3B,Unsloth,unsloth/Qwen3.6-35B-A3B-NVFP4,200K prompt,200000,174590,1024,200192,16.524,27366,50,24.33,results/rtx-5090/qwen36-35b-a3b-unsloth-nvfp4-mtp-gguf-llamacpp-ctx200k-draft-mtp-mtpn2-request-nothink-prompt200k-gen1024-20260710-105201.csv
