"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-23T13:30:50","2026-06-23T13:30:50.1707795-07:00","2026-06-23T13:31:12.0375449-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt8k-gen1024","False","1","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","8192","35224","47afe8ff501bb27a8ffd1caf82bf0828ca29debaa964eceaab215a66dc71f989","7303","1024","8327","21.863","46.838","14.66","158.75","195","2415","405","13801","40","46","31062","31062","32607"
"2026-06-23T13:31:12","2026-06-23T13:31:12.6049569-07:00","2026-06-23T13:31:34.0167578-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt8k-gen1024","False","2","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","8192","35224","47afe8ff501bb27a8ffd1caf82bf0828ca29debaa964eceaab215a66dc71f989","7303","1024","8327","21.411","47.825","158.75","163.55","2415","2415","13801","13801","46","47","31062","31062","32607"
"2026-06-23T13:31:34","2026-06-23T13:31:34.4752629-07:00","2026-06-23T13:31:55.4678962-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt8k-gen1024","False","3","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","8192","35224","47afe8ff501bb27a8ffd1caf82bf0828ca29debaa964eceaab215a66dc71f989","7303","1024","8327","20.992","48.78","163.55","163.94","2415","2415","13801","13801","47","48","31062","31190","32607"
