context_target,fixture_sha256,runtime,prompt_tokens,completion_tokens,wall_seconds,wall_completion_tps,prefill_seconds,decode_seconds,decode_tps,speculative_tps,acceptance_percent,accepted_tokens,drafted_tokens
10k,ad82ad0751187a3dfe077d314405c7a9ac2e774d6dd67a5ffcb6872a82ebf75a,plain llama.cpp,10057,162,3.215,50.386,1.787,1.308,123.85,,,,
10k,ad82ad0751187a3dfe077d314405c7a9ac2e774d6dd67a5ffcb6872a82ebf75a,Lucebox DFlash + KVFlash,9351,168,4.184,40.148,2.2,1.3,126.1,137.09,56.2,168,299
200k,59c689dad0903e2812335443064d3b3d5a504cd4a4c4cf8bdda2ae58e01efaca,plain llama.cpp,199455,164,89.632,1.83,83.328,5.819,28.18,,,,
200k,59c689dad0903e2812335443064d3b3d5a504cd4a4c4cf8bdda2ae58e01efaca,Lucebox DFlash + KVFlash,185357,123,49.172,2.501,46.5,0.8,160.4,177.72,54.4,123,226
