"case","base_url","model","gpu_index","target_prompt_tokens","actual_prompt_tokens_max","max_tokens","runs","warmup_runs","status","exit_code","context_started_at","context_ended_at","context_elapsed_seconds","avg_wall_completion_tps","result_csv"
"qwen36-35b-a3b-mtp-ud-q4-k-xl-llamacpp-ctx200k-prompt10k-gen1024","http://127.0.0.1:39185/v1","qwen36-35b-a3b-mtp-ud-q4-k-xl","0","10000","8907","1024","1","0","ok","0","2026-06-24T15:33:59.4898453-07:00","2026-06-24T15:34:11.4504557-07:00","11.958","96.343","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwen36-35b-a3b-mtp-ud-q4-k-xl-llamacpp-ctx200k-prompt10k-gen1024-20260624-153359.csv"
"qwen36-35b-a3b-mtp-ud-q4-k-xl-llamacpp-ctx200k-prompt200k-gen1024","http://127.0.0.1:39185/v1","qwen36-35b-a3b-mtp-ud-q4-k-xl","0","200000","174590","1024","1","0","ok","0","2026-06-24T15:35:13.5107751-07:00","2026-06-24T15:36:26.9612780-07:00","73.448","14.199","D:\forPublic\nvidia-local-llm-profiles\results\rtx-5090\qwen36-35b-a3b-mtp-ud-q4-k-xl-llamacpp-ctx200k-prompt200k-gen1024-20260624-153513.csv"
