"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-23T13:36:39","2026-06-23T13:36:39.7462622-07:00","2026-06-23T13:37:34.7380703-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt200k-gen1024","False","1","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","200000","840403","a794ca243983eb3387bec6728db4b0c72a99ee2a98cfee7223269708e4ae228c","174588","1024","175612","54.988","18.622","141.49","217.66","2415","2385","13801","13801","54","60","31838","31838","32607"
"2026-06-23T13:37:35","2026-06-23T13:37:35.2333398-07:00","2026-06-23T13:37:58.1668179-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt200k-gen1024","False","2","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","200000","840403","a794ca243983eb3387bec6728db4b0c72a99ee2a98cfee7223269708e4ae228c","174588","1024","175612","22.934","44.651","217.66","218.46","2385","2392","13801","13801","60","59","31838","31838","32607"
"2026-06-23T13:37:58","2026-06-23T13:37:58.6652382-07:00","2026-06-23T13:38:22.3391005-07:00","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs-vllm-fp8kv-ctx200k-prompt200k-gen1024","False","3","http://127.0.0.1:39183/v1","aeon-qwen36-27b-multimodal-nvfp4-mtp-xs","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","200000","840403","a794ca243983eb3387bec6728db4b0c72a99ee2a98cfee7223269708e4ae228c","174588","1024","175612","23.673","43.256","218.46","210.76","2392","2385","13801","13801","59","59","31838","31838","32607"
