"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-22T15:00:16","2026-06-22T15:00:16.1648188-07:00","2026-06-22T15:01:46.3653657-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt200k-gen1024","False","1","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","200000","840403","a794ca243983eb3387bec6728db4b0c72a99ee2a98cfee7223269708e4ae228c","174588","1024","175612","90.197","11.353","211.87","337.72","2287","2212","13801","13801","59","67","27123","27123","32607"
"2026-06-22T15:01:46","2026-06-22T15:01:46.8363165-07:00","2026-06-22T15:02:01.8940079-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt200k-gen1024","False","2","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","200000","840403","a794ca243983eb3387bec6728db4b0c72a99ee2a98cfee7223269708e4ae228c","174588","1024","175612","15.057","68.007","320.75","343.12","2250","2212","13801","13801","64","67","27123","27123","32607"
"2026-06-22T15:02:02","2026-06-22T15:02:02.3453641-07:00","2026-06-22T15:02:16.4849480-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt200k-gen1024","False","3","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","200000","840403","a794ca243983eb3387bec6728db4b0c72a99ee2a98cfee7223269708e4ae228c","174588","1024","175612","14.139","72.422","320.94","340.45","2242","2212","13801","13801","64","66","27123","27123","32607"
