"timestamp","started_at","ended_at","case","warmup","run","base_url","model","gpu_index","gpu_name","driver","max_tokens","temperature","seed","prompt_style","target_prompt_tokens","prompt_chars","prompt_sha256","prompt_tokens","completion_tokens","total_tokens","wall_seconds","wall_completion_tps","power_before_w","power_after_w","clock_before_mhz","clock_after_mhz","mem_clock_before_mhz","mem_clock_after_mhz","temp_before_c","temp_after_c","memory_before_mib","memory_after_mib","memory_total_mib"
"2026-06-22T14:57:59","2026-06-22T14:57:59.8460274-07:00","2026-06-22T14:58:29.0609305-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt66k-gen1024","False","1","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","65536","275758","db6594a84990c42ea3876a6d0bd7cc348ed2d7fecc388f9cfd87d1c8ec913d26","57284","1024","58308","29.211","35.055","189.39","356.95","2287","2190","13801","13801","52","63","27122","27122","32607"
"2026-06-22T14:58:29","2026-06-22T14:58:29.4702997-07:00","2026-06-22T14:58:38.7949322-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt66k-gen1024","False","2","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","65536","275758","db6594a84990c42ea3876a6d0bd7cc348ed2d7fecc388f9cfd87d1c8ec913d26","57284","1024","58308","9.324","109.82","356.95","352.83","2190","2175","13801","13801","63","63","27122","27122","32607"
"2026-06-22T14:58:39","2026-06-22T14:58:39.2002809-07:00","2026-06-22T14:58:47.2316465-07:00","qwopus-coder-mtp-q5-ctx256k-mtp-prompt66k-gen1024","False","3","http://127.0.0.1:39182/v1","qwopus3.6-27b-coder-mtp-q5-k-m","0","NVIDIA GeForce RTX 5090","610.62","1024","0","1234","BookContext","65536","275758","db6594a84990c42ea3876a6d0bd7cc348ed2d7fecc388f9cfd87d1c8ec913d26","57284","1024","58308","8.031","127.503","312.61","352.06","2257","2197","13801","13801","58","63","27122","27122","32607"
