build,commit,date,prompt_label,target_prompt_tokens,prompt_tokens,completion_tokens,context_requested,context_slot,decode_tps,prefill_tps,draft_acceptance,truncated,log_path,notes
b9761,721354fbd,2026-06-30,10K prompt,10000,8907,1024,200000,200192,146.81,3373.08,0.67586,false,logs/qwen36-nvidia-nvfp4-mtp-gguf-bench-server-20260630-104446.err.log,Fresh 10K request at ctx=200000.
b9851,0eca4d490,2026-06-30,10K prompt,10000,8907,1024,200000,200192,152.73,3962.72,0.67586,false,logs/qwen36-nvidia-nvfp4-mtp-gguf-bench-server-20260630-140200.err.log,Fresh 10K request at ctx=200000.
b9761,721354fbd,2026-06-30,200K prompt,200000,174590,1024,200000,200192,88.52,3208.72,0.60237,false,logs/qwen36-nvidia-nvfp4-mtp-gguf-bench-server-20260630-104446.err.log,200K request after the 10K prefix checkpoint; print_timing prompt eval covers 166199 newly processed tokens.
b9851,0eca4d490,2026-06-30,200K prompt,200000,174590,1024,200000,200192,90.41,3238.78,0.63234,false,logs/qwen36-nvidia-nvfp4-mtp-gguf-bench-server-20260630-140729.err.log,Fresh 200K request at ctx=200000.
b9761,721354fbd,2026-06-30,300K target / 262K cap,300000,261960,183,300000,262144,68.07,2634.34,0.59281,true,logs/qwen36-nvidia-nvfp4-mtp-gguf-bench-server-20260630-140904.err.log,Over model train context request; llama.cpp capped slot at 262144 and stopped truncated at 262143 total tokens.
b9851,0eca4d490,2026-06-30,300K target / 262K cap,300000,261960,183,300000,262144,69.19,2643.05,0.59281,true,logs/qwen36-nvidia-nvfp4-mtp-gguf-bench-server-20260630-140502.err.log,Over model train context request; llama.cpp capped slot at 262144 and stopped truncated at 262143 total tokens.
